original order,Case Number,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Time
4776.0,2005.11.20,2005.0,Unprovoked,USA,Florida,Surfing,M,Lacerations to right thigh,N,14:30
4775.0,2005.11.16,2005.0,Boat,NEW CALEDONIA,Unknown,Unknown,Unknown,"No injury to occupants, shark lifted bow of boat 3 times",N,14:30
4774.0,2005.11.15,2005.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14:00
4773.0,2005.11.12,2005.0,Unprovoked,USA,Florida,Surfing,M,Puncture wounds to right foot,N,13:00
4772.0,2005.11.02,2005.0,Unprovoked,USA,California,Surfing,M,"No injury, board bitten",N,16:45
4771.0,2005.11.02,2005.0,Unprovoked,USA,California,Surfing,M,"No injury, board bumped",N,07:15
4770.0,2005.10.29,2005.0,Unprovoked,USA,Florida,Wading,M,Puncture wounds to foot,N,07:15
4769.0,2005.10.25,2005.0,Unprovoked,ST. MARTIN,Simpson Bay,Standing,M,Lower right leg lacerated,N,08:00
4768.0,2005.10.22,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Standing,M,Right foot bitten,N,08:30
4767.0,2005.10.21,2005.0,Unprovoked,USA,California,Surfing,M,No injury,N,11:00
4766.0,2005.10.19,2005.0,Unprovoked,USA,California,Surfing,F,Leg bitten,N,10:30
4765.0,2005.10.15,2005.0,Provoked,USA,Florida,Wading,M,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17:55
4764.0,2005.10.13,2005.0,Unprovoked,USA,Hawaii,Surfing,M,"No injury, surfboard bitten",N,18:00
4763.0,2005.10.11,2005.0,Unprovoked,GRAND CAYMAN,East Wall,Diving,F,No injury ,N,15:00
4762.0,2005.10.06,2005.0,Unprovoked,USA,Florida,Treading,M,Five 1-inch lacerations to left foot,N,16:05
4761.0,2005.10.03,2005.0,Unprovoked,BAHAMAS,Abaco Islands,Diving,M,Lacerations to right side of face,N,16:05
4760.0,2005.10.01,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"No injury, shark bit ski",N,15:00
4759.0,2005.09.27,2005.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, knocked off board",N,15:00
4758.0,2005.09.24,2005.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,Lacerations to legs,N,12:05
4757.0,2005.09.23,2005.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M, No injury,N,08:30
4756.0,2005.09.22,2005.0,Invalid,USA,Florida,Surfing,M,Lacerations to dorsum of left foot,Unknown,07:30
4755.0,2005.09.20,2005.0,Unprovoked,USA,South Carolina,Surfing,F,"Injuries to fingers, calf  & heel",N,16:30
4754.0,2005.09.11,2005.0,Unprovoked,USA,South Carolina,Surfing,M,FATAL,Y,14:00
4753.0,2005.09.07,2005.0,Unprovoked,AUSTRALIA,New South Wales,Standing,M,Left foot & ankle lacerated,N,18:30
4752.0,2005.09.05,2005.0,Unprovoked,USA,North Carolina,Wading,F,Calf severely lacerated,N,15:20
4751.0,2005.09.04,2005.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,Lacerations to right arm & thigh,N,15:00
4750.0,2005.09.02,2005.0,Unprovoked,USA,Florida,Standing,M,Right foot bitten,N,11:10
4749.0,2005.09.02,2005.0,Provoked,THAILAND,Unknown,Removing,M,FATAL PROVOKED INCIDENT,Y,11:10
4748.0,2005.08.24,2005.0,Unprovoked,AUSTRALIA,South Australia,Diving,M,FATAL,Y,16:10
4747.0,2005.08.24,2005.0,Unprovoked,USA,California,Surfing,M,Lower right leg lacerated,N,11:00
